City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,wailua homesteads,22.0669,-159.378,29.24,74,20,6.69,US,1718057847
234,aldan,58.6031,125.3894,14.14,75,19,1.09,RU,1718057987
235,la rinconada,37.4873,-5.9826,20.07,78,0,3.6,ES,1718057987
236,broome,42.2506,-75.833,18.17,78,100,3.09,US,1718057835
237,luwuk,-0.9516,122.7875,22.55,92,93,1.66,ID,1718057988
238,badger,64.8,-147.5333,21.93,49,40,1.54,US,1718057835
239,tsiombe,-25.3,45.4833,18.76,68,32,6.67,MG,1718057851
240,karmaskaly,54.3709,56.1837,11.95,76,11,0.75,RU,1718057988
241,monrovia,6.3005,-10.7969,24.87,90,100,6.04,LR,1718057852
242,kotel'nikovo,47.6317,43.1461,21.42,66,44,2.55,RU,1718057988
243,minzhu,43.7286,127.3447,16.22,89,13,1.12,CN,1718057988
244,forster,-32.1667,152.5167,9.05,92,28,1.76,AU,1718057988
245,ola,59.5833,151.2833,11.19,74,100,2.36,RU,1718057877
246,guarapari,-20.6667,-40.4975,22.05,86,56,3.48,BR,1718057888
247,kill devil hills,36.0307,-75.676,25.01,51,0,3.6,US,1718057888
248,iskateley,67.6803,53.1512,3.34,88,6,3.58,RU,1718057856
249,dudinka,69.4058,86.1778,6.49,86,91,3.13,RU,1718057855
250,lisala,2.15,21.5167,21.76,88,73,1.21,CD,1718057989
251,jamestown,42.097,-79.2353,12.79,80,100,4.63,US,1718057724
252,zhangye,38.9342,100.4517,19.66,35,72,2.65,CN,1718057989
253,urzhar,47.093,81.6294,19.49,60,48,2.61,KZ,1718057990
254,hotan,37.0997,79.9269,23.55,29,14,2.68,CN,1718057896
255,cabo san lucas,22.8909,-109.9124,33.17,37,0,4.12,MX,1718057848
256,alesund,62.4723,6.1549,12.09,93,75,4.12,NO,1718057816
257,kolonia,50.9333,6.95,11.08,81,75,7.72,DE,1718057866
258,robertson,36.5167,-86.8667,26.83,55,75,5.14,US,1718057990
259,asaita,11.5636,41.4394,34.34,30,33,2.28,ET,1718057990
260,pointe-noire,-4.7761,11.8635,22.04,100,20,0.0,CG,1718057991
261,mana,5.6592,-53.7767,26.55,86,81,3.68,GF,1718057857
262,tarko-sale,64.9225,77.785,13.78,50,100,4.24,RU,1718057991
263,inarajan village,13.2736,144.7484,29.11,90,100,4.27,GU,1718057991
264,vilyuchinsk,52.9306,158.4028,16.15,76,100,1.81,RU,1718057896
265,le port,-20.9373,55.2919,22.98,74,26,3.24,RE,1718057991
266,saudarkrokur,65.7461,-19.6394,6.09,80,96,1.58,IS,1718057991
267,tokmok,42.8417,75.3016,23.35,32,93,2.74,KG,1718057992
268,nantucket,41.2835,-70.0995,20.61,77,0,8.23,US,1718057713
269,menaka,15.9182,2.4022,35.84,25,47,5.22,ML,1718057992
270,monjaras,13.2006,-87.3742,32.31,69,90,3.96,HN,1718057992
271,rabo de peixe,37.8,-25.5833,17.77,99,40,2.57,PT,1718057992
272,chililabombwe,-12.3648,27.8229,15.76,53,100,3.19,ZM,1718057950
273,hermanus,-34.4187,19.2345,16.56,55,99,4.48,ZA,1718057854
274,tangalle,6.024,80.7911,26.21,88,95,5.11,LK,1718057992
275,luderitz,-26.6481,15.1594,19.32,49,48,1.88,NA,1718057884
276,launceston,-41.45,147.1667,12.97,94,100,11.32,AU,1718057993
277,port lincoln,-34.7333,135.8667,16.2,82,100,8.16,AU,1718057835
278,leh,34.1667,77.5833,6.72,35,71,2.16,IN,1718057993
279,ebon,4.582,168.6964,29.25,77,61,7.11,MH,1718057869
280,puebla,18.8333,-98.0,26.91,27,90,5.24,MX,1718057744
281,usogorsk,63.4106,48.6872,14.81,74,100,4.52,RU,1718057867
282,kodiak,57.79,-152.4072,6.73,100,100,6.17,US,1718057868
283,tchollire,8.4022,14.1698,24.23,78,92,1.34,CM,1718057993
284,vallenar,-28.5708,-70.7581,16.99,41,98,1.8,CL,1718057717
285,harstad,68.799,16.5293,13.66,86,98,2.81,NO,1718057882
286,nagqu,31.5,92.0,4.0,77,2,2.35,CN,1718057994
287,al kharijah,25.4514,30.5464,28.94,16,0,3.32,EG,1718057868
288,rehoboth,-23.3167,17.0833,15.86,41,11,2.53,NA,1718057994
289,los palacios,22.5872,-83.2486,28.01,74,95,5.74,CU,1718057994
290,cabugao,17.7931,120.4578,29.94,82,98,2.38,PH,1718057995
291,keflavik,64.0049,-22.5624,8.95,93,75,5.14,IS,1718057855
292,teguise,29.0605,-13.564,20.12,64,40,5.14,ES,1718057995
293,usinsk,65.9939,57.5281,3.93,91,90,2.68,RU,1718057863
294,yonggwang-up,40.0183,127.4547,20.83,64,4,1.35,KP,1718057995
295,tromso,69.6496,18.957,12.01,71,0,6.17,NO,1718057833
296,nelson bay,-32.7167,152.15,11.11,87,53,0.45,AU,1718057903
297,ambon,-3.6954,128.1814,26.6,95,40,2.06,ID,1718057995
298,sao joao da barra,-21.6403,-41.0511,22.05,83,56,5.35,BR,1718057996
299,mhamid,29.82,-5.72,28.42,16,0,9.45,MA,1718057996
300,shalqar,47.8333,59.6,23.0,45,15,3.79,KZ,1718057996
301,ugoofaaru,5.6667,73.0,28.66,77,84,7.25,MV,1718057901
302,yallahs,17.8748,-76.5624,30.97,78,95,5.13,JM,1718057996
303,nova vicosa,-17.8919,-39.3719,23.35,76,32,2.6,BR,1718057702
304,tazacorte,28.629,-17.9293,21.54,86,75,5.66,ES,1718057996
305,touros,-5.1989,-35.4608,25.55,76,47,6.5,BR,1718057853
306,argo,37.6333,22.7333,25.76,45,12,1.67,GR,1718057840
307,fort bragg,35.139,-79.006,29.95,40,40,1.34,US,1718057867
308,mitsamiouli,-11.3847,43.2844,25.77,69,32,5.25,KM,1718057997
309,akureyri,65.6835,-18.0878,5.96,81,0,3.6,IS,1718057997
310,kasoa,5.533,-0.4224,27.25,88,79,4.73,GH,1718057997
311,talnakh,69.4865,88.3972,6.23,87,33,3.97,RU,1718057867
312,hatillo,18.4863,-66.8254,31.73,77,100,3.58,PR,1718057997
313,canutama,-6.5339,-64.3831,27.09,77,64,0.49,BR,1718057997
314,ceres,37.5949,-120.9577,35.43,32,0,4.12,US,1718057997
315,geraldton,-28.7667,114.6,16.23,88,75,4.12,AU,1718057877
316,vung tau,10.346,107.0843,27.31,76,100,2.73,VN,1718057998
317,new plymouth,-39.0667,174.0833,12.67,100,75,5.87,NZ,1718057998
318,ngawi,-7.4038,111.4461,23.43,90,10,1.64,ID,1718057998
319,sturgeon bay,44.8342,-87.377,17.98,54,1,4.54,US,1718057755
320,milove,49.3787,40.1302,20.67,63,30,2.82,UA,1718057998
321,suva,-18.1416,178.4415,26.71,69,20,5.66,FJ,1718057867
322,massawa,15.6097,39.45,32.36,61,32,2.22,ER,1718057998
323,dryden,49.7833,-92.7503,22.16,23,0,4.12,CA,1718057896
324,kapa'a,22.0752,-159.319,29.99,74,20,6.69,US,1718057806
325,talakan,50.3167,130.3667,15.3,85,57,1.47,RU,1718057999
326,bilao,11.488,122.5599,25.63,90,97,0.63,PH,1718057999
327,nova aurora,-22.8667,-52.5667,23.68,45,1,3.36,BR,1718057999
328,patti,31.2808,74.8572,29.04,18,2,2.02,IN,1718057999
329,belyy yar,53.6039,91.3903,10.94,87,0,1.0,RU,1718057999
330,muzaffarabad,34.37,73.4711,20.93,38,0,2.89,PK,1718057999
331,chui,-33.6971,-53.4616,12.45,95,9,2.51,UY,1718057857
332,fortuna,40.5982,-124.1573,18.29,82,40,5.66,US,1718057888
333,roma,43.2128,-75.4557,14.65,77,100,4.63,US,1718057832
334,moyale,3.5167,39.0584,20.73,67,98,5.08,KE,1718058000
335,mournies,35.4764,24.0092,27.13,57,0,2.06,GR,1718058000
336,chaman,30.9236,66.4512,24.84,9,0,1.4,PK,1718058000
337,pampa,35.5362,-100.9599,21.02,83,100,4.12,US,1718058000
338,sidareja,-7.4846,108.7923,23.94,97,50,0.79,ID,1718058000
339,kirkwall,58.9848,-2.9587,9.03,81,75,8.23,GB,1718058001
340,st. john's,47.5649,-52.7093,16.66,98,100,3.13,CA,1718057871
341,muynoq,43.7683,59.0214,27.48,37,83,4.75,UZ,1718058001
342,lupane,-18.9315,27.807,10.32,57,0,3.49,ZW,1718058001
343,prineville,44.2999,-120.8345,30.06,22,0,2.06,US,1718058001
344,gurun,5.8172,100.4738,25.88,92,100,0.79,MY,1718058002
345,kangding,30.0513,101.9603,13.78,98,100,1.05,CN,1718057838
346,aykhal,66.0,111.5,16.86,47,80,2.6,RU,1718057590
347,santo antonio,-6.3106,-35.4789,23.2,81,5,5.38,BR,1718058002
348,bardai,11.65,7.2333,26.62,67,80,1.72,NG,1718057867
349,khorramshahr,30.4397,48.1664,34.97,33,40,6.17,IR,1718058003
350,tadine,-21.55,167.8833,24.1,76,19,1.3,NC,1718058003
351,jacmel,18.2342,-72.5347,29.25,75,100,4.05,HT,1718058003
352,alofi,-19.0595,-169.9187,25.94,65,40,6.17,NU,1718057712
353,st anne,49.715,-2.2042,11.25,72,26,7.63,GG,1718058004
354,olinda,-8.0089,-34.8553,26.85,74,20,5.14,BR,1718057904
355,hiratacho,35.4333,132.8167,22.98,83,11,1.03,JP,1718058004
356,magdagachi,53.45,125.8,11.14,77,100,2.19,RU,1718058005
357,nosy varika,-20.5833,48.5333,19.41,81,97,5.48,MG,1718058005
358,jertih,5.7336,102.4897,24.05,88,99,1.54,MY,1718058005
359,quellon,-43.1167,-73.6167,10.87,93,100,8.7,CL,1718058005
360,nemuro,43.3236,145.575,10.68,100,100,3.63,JP,1718057651
361,kulim,5.365,100.5618,27.74,95,98,1.64,MY,1718058005
362,tyukhtet,56.5389,89.3011,9.23,96,0,1.55,RU,1718058005
363,marsh harbour,26.5412,-77.0636,29.43,70,67,6.17,BS,1718057840
364,luanda,-8.8368,13.2343,22.3,94,17,3.09,AO,1718057465
365,susuman,62.7833,148.1667,9.99,46,45,0.89,RU,1718057839
